business_id,treated,accepted
0,False,False
1,False,False
2,False,False
3,False,False
4,False,False
5,False,False
6,False,False
7,True,False
8,False,False
9,False,False
10,False,False
11,False,False
12,False,False
13,True,False
14,False,False
15,False,False
16,True,False
17,True,True
18,True,False
19,True,False
20,True,False
21,True,False
22,True,False
23,False,False
24,True,False
25,False,False
26,True,False
27,False,False
28,False,False
29,False,False
30,False,False
31,True,False
32,False,False
33,False,False
34,True,False
35,False,False
36,True,False
37,False,False
38,True,False
39,False,False
40,False,False
41,True,False
42,False,True
43,False,False
44,False,False
45,False,False
46,True,False
47,False,False
48,False,False
49,True,False
50,True,True
51,True,True
52,True,False
53,False,False
54,False,False
55,True,False
56,True,True
57,True,False
58,False,True
59,False,False
60,False,False
61,False,False
62,False,False
63,True,True
64,True,False
65,False,False
66,True,True
67,False,True
68,True,False
69,True,False
70,False,False
71,True,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,True,False
82,False,False
83,False,False
84,True,False
85,False,False
86,False,False
87,False,False
88,True,False
89,True,False
90,False,False
91,False,False
92,False,False
93,True,False
94,True,False
95,False,False
96,False,False
97,True,False
98,False,True
99,False,False
100,False,False
101,False,False
102,True,False
103,False,False
104,False,False
105,False,False
106,False,False
107,False,False
108,True,False
109,False,False
110,False,False
111,True,False
112,False,False
113,True,False
114,False,False
115,False,False
116,True,False
117,True,False
118,False,False
119,True,False
120,True,False
121,True,False
122,True,False
123,True,False
124,False,False
125,True,False
126,True,False
127,True,False
128,False,False
129,True,True
130,False,False
131,False,True
132,False,False
133,True,False
134,False,False
135,False,False
136,True,False
137,False,False
138,True,False
139,True,False
140,True,False
141,True,False
142,True,False
143,False,False
144,False,True
145,False,False
146,True,False
147,False,False
148,False,False
149,True,False
150,True,False
151,True,False
152,False,True
153,False,False
154,False,True
155,True,False
156,True,False
157,False,False
158,True,False
159,True,False
160,True,False
161,False,False
162,False,True
163,True,False
164,True,True
165,False,False
166,False,False
167,True,False
168,True,True
169,False,True
170,True,True
171,True,False
172,False,False
173,True,True
174,False,False
175,True,False
176,False,False
177,False,False
178,False,False
179,True,False
180,True,False
181,True,False
182,True,False
183,True,False
184,False,True
185,False,False
186,True,False
187,False,False
188,False,False
189,False,True
190,True,False
191,True,False
192,True,False
193,True,False
194,False,False
195,False,True
196,True,False
197,False,False
198,False,True
199,False,False
200,False,False
201,False,False
202,True,False
203,True,False
204,True,False
205,True,False
206,False,False
207,True,False
208,True,True
209,False,False
210,True,False
211,True,True
212,False,False
213,True,False
214,True,False
215,True,False
216,True,False
217,True,False
218,True,False
219,True,False
220,False,False
221,True,False
222,True,False
223,True,False
224,True,False
225,True,True
226,True,False
227,True,False
228,True,False
229,True,False
230,True,False
231,True,False
232,False,False
233,True,False
234,False,False
235,True,False
236,True,False
237,False,False
238,True,False
239,False,True
240,False,False
241,True,False
242,False,False
243,False,False
244,False,False
245,True,True
246,True,False
247,False,False
248,False,True
249,True,False
250,False,False
251,False,False
252,False,False
253,False,False
254,False,True
255,False,False
256,False,False
257,True,False
258,False,False
259,True,False
260,True,False
261,True,False
262,True,False
263,False,False
264,True,False
265,True,False
266,False,False
267,True,False
268,False,False
269,False,False
270,True,False
271,True,False
272,True,False
273,False,False
274,True,False
275,False,True
276,False,False
277,False,False
278,True,False
279,False,False
280,False,False
281,False,False
282,True,False
283,False,False
284,False,False
285,False,False
286,True,False
287,False,False
288,True,True
289,True,False
290,True,False
291,False,False
292,False,False
293,False,True
294,False,False
295,True,True
296,True,False
297,True,False
298,True,False
299,True,False
300,False,False
301,False,True
302,False,False
303,True,True
304,True,False
305,False,False
306,False,True
307,True,False
308,False,True
309,True,False
310,False,False
311,True,False
312,True,False
313,False,True
314,False,False
315,True,True
316,True,False
317,False,False
318,True,False
319,False,False
320,False,False
321,True,False
322,False,False
323,True,False
324,True,False
325,False,True
326,True,False
327,True,False
328,True,False
329,True,False
330,False,False
331,True,False
332,False,False
333,False,True
334,False,True
335,False,True
336,True,False
337,True,False
338,True,False
339,False,False
340,False,False
341,False,False
342,True,False
343,False,False
344,False,False
345,False,False
346,True,True
347,False,True
348,True,True
349,True,False
350,True,False
351,False,False
352,False,False
353,True,False
354,False,True
355,False,False
356,False,False
357,True,False
358,True,True
359,False,False
360,True,True
361,True,False
362,True,False
363,True,False
364,True,False
365,True,False
366,True,False
367,True,False
368,False,False
369,False,False
370,False,True
371,False,False
372,True,False
373,False,False
374,False,False
375,True,False
376,False,False
377,True,False
378,True,False
379,False,True
380,False,False
381,False,False
382,True,False
383,True,True
384,False,False
385,False,False
386,True,False
387,True,False
388,True,False
389,True,False
390,True,False
391,False,False
392,False,False
393,True,False
394,False,False
395,False,False
396,True,False
397,False,False
398,False,False
399,False,False
400,False,False
401,False,False
402,False,True
403,True,True
404,True,True
405,False,False
406,True,True
407,True,False
408,True,False
409,True,False
410,True,True
411,True,False
412,False,True
413,False,False
414,True,False
415,True,False
416,False,False
417,False,False
418,False,True
419,False,False
420,True,False
421,False,False
422,False,False
423,False,False
424,True,False
425,True,False
426,True,False
427,True,False
428,False,False
429,False,True
430,True,False
431,False,False
432,False,False
433,False,True
434,False,False
435,True,False
